accuracy,loss,mae,mse,val_accuracy,val_loss,val_mae,val_mse,epoch
0.004761904943734407,2132.957275390625,37.55989456176758,2132.956787109375,0.0,1316.662109375,30.848318099975586,1346.27294921875,0
0.0,293.8874206542969,19.55424690246582,587.7748413085938,0.0,1316.5943603515625,30.847150802612305,1346.2049560546875,1
0.004761904943734407,2127.226318359375,37.472259521484375,2127.2265625,0.0,1311.6602783203125,30.7640380859375,1341.28173828125,2
0.0,292.4125671386719,19.473613739013672,584.8251342773438,0.0,1311.5738525390625,30.76255989074707,1341.19482421875,3
0.004761904943734407,2119.18408203125,37.37150573730469,2119.183837890625,0.0,1305.805419921875,30.668289184570312,1335.439697265625,4
0.0,291.12701416015625,19.360309600830078,582.2540283203125,0.0,1305.7181396484375,30.666824340820312,1335.3516845703125,5
0.014285714365541935,2112.415283203125,37.27002716064453,2112.41552734375,0.0,1300.0897216796875,30.574674606323242,1329.722900390625,6
0.0,290.2735595703125,19.284883499145508,580.547119140625,0.0,1300.0001220703125,30.573135375976562,1329.633056640625,7
0.0,2105.651123046875,37.188480377197266,2105.651123046875,0.0,1293.8377685546875,30.47114372253418,1323.46826171875,8
0.0,288.7847900390625,19.231847763061523,577.569580078125,0.0,1293.7320556640625,30.469327926635742,1323.3623046875,9
0.014285714365541935,2099.67236328125,37.09285354614258,2099.672119140625,0.0,1287.2315673828125,30.361648559570312,1316.859619140625,10
0.0,286.0154113769531,19.103458404541016,572.0308227539062,0.0,1287.07275390625,30.35895538330078,1316.69970703125,11
0.014285714365541935,2089.12939453125,36.95889663696289,2089.12939453125,0.0,1279.5733642578125,30.232969284057617,1309.1961669921875,12
0.0,284.0286560058594,18.916791915893555,568.0573120117188,0.0,1279.4139404296875,30.230186462402344,1309.0361328125,13
0.01904761977493763,2083.4150390625,36.85956954956055,2083.4150390625,0.0,1271.48779296875,30.096920013427734,1301.1038818359375,14
0.0,284.2623596191406,18.866355895996094,568.5247192382812,0.0,1271.327880859375,30.094179153442383,1300.943115234375,15
0.02380952425301075,2071.010986328125,36.689292907714844,2071.0107421875,0.0,1262.4560546875,29.943992614746094,1292.0633544921875,16
0.0,280.3109436035156,18.555265426635742,560.6218872070312,0.0,1262.2652587890625,29.940650939941406,1291.871826171875,17
0.03333333507180214,2058.283203125,36.53334045410156,2058.283203125,0.0,1252.6636962890625,29.777238845825195,1282.2552490234375,18
0.0,281.8865661621094,18.718425750732422,563.7731323242188,0.0,1252.5067138671875,29.774463653564453,1282.09716796875,19
0.02857142873108387,2046.0994873046875,36.35084915161133,2046.0997314453125,0.0,1241.9854736328125,29.59247589111328,1271.5595703125,20
0.0,274.9227600097656,18.122217178344727,549.8455200195312,0.0,1241.76708984375,29.588600158691406,1271.3404541015625,21
0.03809523954987526,2032.8760986328125,36.18461990356445,2032.8760986328125,0.0,1230.3406982421875,29.38908576965332,1259.893798828125,22
0.0,274.5723571777344,18.314468383789062,549.1447143554688,0.0,1230.1165771484375,29.385095596313477,1259.668701171875,23
0.03809523954987526,2016.663818359375,35.955589294433594,2016.663818359375,0.0,1217.6527099609375,29.16639518737793,1247.186767578125,24
0.0,270.13134765625,18.02421760559082,540.2626953125,0.0,1217.3934326171875,29.161705017089844,1246.9263916015625,25
0.03809523954987526,1998.4356689453125,35.72954177856445,1998.435546875,0.0,1203.8067626953125,28.920413970947266,1233.3150634765625,26
0.0,268.6711730957031,18.033479690551758,537.3423461914062,0.0,1203.53466796875,28.91551399230957,1233.0416259765625,27
0.03809523954987526,1989.945556640625,35.62453079223633,1989.9456787109375,0.0,1189.2703857421875,28.65947723388672,1218.749755859375,28
0.0,266.94873046875,17.349822998046875,533.8974609375,0.0,1189.0157470703125,28.654788970947266,1218.493896484375,29
0.03809523954987526,1967.991455078125,35.291011810302734,1967.9912109375,0.0,1173.130859375,28.366151809692383,1202.57568359375,30
0.0,259.0610046386719,17.1739559173584,518.1220092773438,0.0,1172.78759765625,28.359886169433594,1202.2305908203125,31
0.03809523954987526,1941.2520751953125,35.014034271240234,1941.2520751953125,0.0,1155.908203125,28.04973030090332,1185.314208984375,32
0.0,254.59446716308594,17.003938674926758,509.1889343261719,0.0,1155.5599365234375,28.043272018432617,1184.9638671875,33
0.03809523954987526,1923.3768310546875,34.766395568847656,1923.3768310546875,0.0,1137.50927734375,27.708187103271484,1166.879150390625,34
0.0,249.435791015625,16.796472549438477,498.87158203125,0.0,1137.0972900390625,27.70046615600586,1166.4649658203125,35
0.03809523954987526,1902.4478759765625,34.466495513916016,1902.4478759765625,0.0,1117.324951171875,27.327774047851562,1146.649658203125,36
0.0,248.9370574951172,16.362730026245117,497.8741149902344,0.0,1116.9388427734375,27.320417404174805,1146.26123046875,37
0.03809523954987526,1869.73291015625,34.135826110839844,1869.732421875,0.0,1095.66845703125,26.912429809570312,1124.9393310546875,38
0.0,245.24713134765625,15.521777153015137,490.4942626953125,0.0,1095.2994384765625,26.905221939086914,1124.5682373046875,39
0.03809523954987526,1842.8824462890625,33.78902816772461,1842.8824462890625,0.0,1072.8636474609375,26.467920303344727,1102.0799560546875,40
0.0,224.96678161621094,15.257843017578125,449.9335632324219,0.0,1072.336669921875,26.4583740234375,1101.5498046875,41
0.03809523954987526,1818.524169921875,33.511383056640625,1818.5238037109375,0.0,1048.6734619140625,26.141109466552734,1077.8310546875,42
0.0,224.6712646484375,15.005562782287598,449.342529296875,0.0,1048.15234375,26.134023666381836,1077.3070068359375,43
