Logged,Predicted
60.0,35.35120649312555
60.0,30.099999936280945
3.0,30.099999936280945
35.0,42.585786186285546
30.0,42.585786186285546
40.0,37.157713438653396
8.0,37.157713438653396
60.0,42.585786186285546
30.0,30.099999936280945
60.0,37.57935109325236
15.0,30.099999936280945
15.0,30.099999936280945
2.0,30.099999936280945
60.0,35.35120649312555
22.0,42.585786186285546
15.0,30.099999936280945
90.0,42.585786186285546
15.0,42.585786186285546
22.0,30.099999936280945
80.0,30.099999936280945
60.0,35.35120649312555
16.0,30.099999936280945
30.0,30.099999936280945
86.0,30.099999936280945
60.0,30.099999936280945
35.0,37.57935109325236
5.0,30.099999936280945
