Task_ID,Priority,Project_ID,Project_code,Category,Total_developers,TaskPerformance,DeveloperPerformance,Hours_estimate,Hours_logged,Difference,Estimate_Effort
3571,8,9,PC9,Bug,1,2,2,3,1,2,1.336206897
3590,3,17,PC17,Enhancement,1,-2,-2,8,10,2,1.982758621
3599,8,2,PC2,Enhancement,1,-2,-2,1,3,2,1.077586207
3618,5,2,PC2,Enhancement,1,-2,-2,1,3,2,1.077586207
3644,3,2,PC2,Bug,1,-2,-1.5,3,5,2,1.336206897
3644,3,2,PC2,Bug,1,-2,NA,3,5,2,1.336206897
3678,1,16,PC16,Bug,1,2,2,10,8,2,2.24137931
3820,5,2,PC2,Enhancement,1,2,2,3,1,2,1.336206897
3854,1,11,PC11,Enhancement,1,-2,-2,1,3,2,1.077586207
3983,1,11,PC11,Enhancement,1,-2,-2,3,5,2,1.336206897
4020,2,11,PC11,Enhancement,1,2,2,3,1,2,1.336206897
4079,4,2,PC2,Bug,1,-2,-2,3,5,2,1.336206897
4084,1,2,PC2,Bug,1,-2,-2,7,9,2,1.853448276
4144,1,2,PC2,Enhancement,1,2,2,7,5,2,1.853448276
4147,3,9,PC9,Bug,1,2,2,3,1,2,1.336206897
4178,2,2,PC2,Enhancement,1,-2,-2,14,16,2,2.75862069
4183,1,2,PC2,Enhancement,1,2,2,7,5,2,1.853448276
4247,3,2,PC2,Enhancement,1,-2,-2,1,3,2,1.077586207
4264,10,11,PC11,Bug,1,-2,-2,4,6,2,1.465517241
4286,7,2,PC2,Bug,1,2,2,4,2,2,1.465517241
4318,1,2,PC2,Release,1,2,2,7,5,2,1.853448276
4439,1,2,PC2,Bug,1,2,2,7,5,2,1.853448276
4463,1,17,PC17,Enhancement,1,2,2,14,12,2,2.75862069
4495,1,2,PC2,Release,1,2,2,7,5,2,1.853448276
4563,5,2,PC2,Enhancement,1,2,2,7,5,2,1.853448276
4570,2,2,PC2,Bug,1,-2,-2,3,5,2,1.336206897
4577,4,2,PC2,Bug,1,2,2,4,2,2,1.465517241
4666,1,9,PC9,Enhancement,1,-2,NA,3,5,2,1.336206897
4666,1,9,PC9,Enhancement,1,-2,0,3,5,2,1.336206897
4671,3,17,PC17,Enhancement,1,2,2,3,1,2,1.336206897
4750,5,9,PC9,Enhancement,1,2,2,10,8,2,2.24137931
4796,1,2,PC2,Enhancement,1,-2,NA,3,5,2,1.336206897
4796,1,2,PC2,Enhancement,1,-2,2,3,5,2,1.336206897
4801,2,2,PC2,Bug,1,-2,-2,2,4,2,1.206896552
4809,5,2,PC2,Bug,1,-2,-2,2,4,2,1.206896552
4856,1,2,PC2,Release,1,-2,NA,7,9,2,1.853448276
4856,1,2,PC2,Release,1,-2,2,7,9,2,1.853448276
4858,5,9,PC9,Enhancement,1,-2,-2,1,3,2,1.077586207
4920,1,2,PC2,Bug,1,2,2,3,1,2,1.336206897
4926,1,2,PC2,Bug,1,2,2,7,5,2,1.853448276
4934,1,2,PC2,Bug,1,2,2,7,5,2,1.853448276
5065,1,2,PC2,Release,1,-2,-2,8,10,2,1.982758621
5146,1,2,PC2,Enhancement,1,2,2,3,1,2,1.336206897
5158,5,9,PC9,Enhancement,1,-2,NA,2,4,2,1.206896552
5158,5,9,PC9,Enhancement,1,-2,0,2,4,2,1.206896552
5220,1,2,PC2,Enhancement,1,-2,-1,10,12,2,2.24137931
5220,1,2,PC2,Enhancement,1,-2,NA,10,12,2,2.24137931
5240,1,9,PC9,Enhancement,1,2,NA,21,19,2,3.663793103
5240,1,9,PC9,Enhancement,1,2,7,21,19,2,3.663793103
5390,5,2,PC2,Enhancement,1,-2,-2,1,3,2,1.077586207
5433,1,2,PC2,Bug,1,-2,-2,3,5,2,1.336206897
5520,5,2,PC2,Bug,1,2,2,3,1,2,1.336206897
5534,1,17,PC17,Enhancement,1,2,4.5,7,5,2,1.853448276
5534,1,17,PC17,Enhancement,1,2,NA,7,5,2,1.853448276
5658,2,9,PC9,Bug,1,2,NA,4,2,2,1.465517241
5775,4,2,PC2,Enhancement,1,-2,-2,3.5,5.5,2,1.400862069
5840,4,2,PC2,Enhancement,1,2,2,3,1,2,1.336206897
5937,2,2,PC2,Bug,1,-2,-2,3,5,2,1.336206897
5994,2,2,PC2,Enhancement,1,2,2,5,3,2,1.594827586
5997,5,2,PC2,Enhancement,1,-2,-2,2.5,4.5,2,1.271551724
6009,3,9,PC9,Bug,1,-2,NA,2,4,2,1.206896552
6009,3,9,PC9,Bug,1,-2,0,2,4,2,1.206896552
6012,1,2,PC2,Bug,1,-2,NA,2,4,2,1.206896552
6012,1,2,PC2,Bug,1,-2,0,2,4,2,1.206896552
6090,1,9,PC9,Enhancement,1,2,2,4,2,2,1.465517241
6127,5,9,PC9,Bug,1,-2,-2,1.5,3.5,2,1.142241379
6140,2,2,PC2,Enhancement,1,-2,-2,3,5,2,1.336206897
6245,3,2,PC2,Bug,1,2,2,5,3,2,1.594827586
6278,1,9,PC9,Enhancement,1,-2,1.5,7,9,2,1.853448276
6278,1,9,PC9,Enhancement,1,-2,NA,7,9,2,1.853448276
6355,2,2,PC2,Release,1,2,2,7,5,2,1.853448276
6395,3,2,PC2,Testing,1,2,2,3.5,1.5,2,1.400862069
6487,4,2,PC2,Enhancement,1,-2,-2,2,4,2,1.206896552
6612,1,2,PC2,Enhancement,1,2,2,7,5,2,1.853448276
6683,5,9,PC9,Bug,1,-2,NA,2,4,2,1.206896552
6683,5,9,PC9,Bug,1,-2,0,2,4,2,1.206896552
6946,5,2,PC2,Enhancement,1,-2,-2,7,9,2,1.853448276
6979,1,2,PC2,Bug,1,2,2,4,2,2,1.465517241
7062,1,2,PC2,Enhancement,1,2,2,7,5,2,1.853448276
7112,1,9,PC9,Enhancement,1,2,2,7,5,2,1.853448276
7333,1,9,PC9,Bug,1,2,2,7,5,2,1.853448276
7390,1,2,PC2,Bug,1,2,2,4,2,2,1.465517241
7466,1,2,PC2,Bug,1,-2,-2,7,9,2,1.853448276
7502,5,2,PC2,Bug,1,-2,-2,2,4,2,1.206896552
7565,5,9,PC9,Enhancement,1,2,2,4,2,2,1.465517241
7621,5,9,PC9,Bug,1,-2,-2,4,6,2,1.465517241
7657,2,2,PC2,Enhancement,1,-2,-2,1,3,2,1.077586207
7659,1,2,PC2,Bug,1,-2,-2,4,6,2,1.465517241
7716,2,2,PC2,Enhancement,1,2,2,5,3,2,1.594827586
7808,1,9,PC9,Bug,1,-2,-2,2,4,2,1.206896552
7889,1,2,PC2,Bug,1,2,2,4,2,2,1.465517241
7935,5,9,PC9,Bug,1,2,2,5,3,2,1.594827586
8189,5,9,PC9,Bug,1,2,2,3,1,2,1.336206897
8294,1,17,PC17,Enhancement,1,-2,NA,2,4,2,1.206896552
8294,1,17,PC17,Enhancement,1,-2,0,2,4,2,1.206896552
8424,5,9,PC9,Bug,1,-2,-2,7,9,2,1.853448276
8525,1,2,PC2,Bug,1,-2,-2,3.5,5.5,2,1.400862069
8693,5,9,PC9,Bug,1,-2,NA,1.5,3.5,2,1.142241379
8693,5,9,PC9,Bug,1,-2,-1.5,1.5,3.5,2,1.142241379
8717,5,2,PC2,Bug,1,2,2,3,1,2,1.336206897
8773,1,9,PC9,Bug,1,-2,-2,7,9,2,1.853448276
8788,1,2,PC2,Enhancement,1,-2,-2,7,9,2,1.853448276
8902,1,2,PC2,Bug,1,-2,NA,2,4,2,1.206896552
8902,1,2,PC2,Bug,1,-2,-1,2,4,2,1.206896552
9272,1,2,PC2,Bug,1,2,2,3,1,2,1.336206897
9407,3,2,PC2,Enhancement,1,-2,-2,5,7,2,1.594827586
9663,3,9,PC9,Enhancement,1,2,2,7,5,2,1.853448276
9837,1,14,PC14,Bug,1,-2,-2,1,3,2,1.077586207
9941,1,16,PC16,Enhancement,1,-2,-2,2,4,2,1.206896552
10228,1,2,PC2,Release,1,-2,-2,7,9,2,1.853448276
10246,3,16,PC16,Bug,1,2,2,3,1,2,1.336206897
10292,1,2,PC2,Release,1,2,2,7,5,2,1.853448276
10352,8,9,PC9,Bug,1,-2,-0.5,1,3,2,1.077586207
10352,8,9,PC9,Bug,1,-2,NA,1,3,2,1.077586207
10506,1,9,PC9,Bug,1,2,2,14,12,2,2.75862069
10677,1,9,PC9,Enhancement,1,2,2,7,5,2,1.853448276
10864,3,9,PC9,Enhancement,1,2,2,21,19,2,3.663793103
12313,1,6,PC6,Bug,1,2,2,50,48,2,7.413793103
12613,1,13,PC13,Bug,1,2,2,7,5,2,1.853448276
13292,1,5,PC5,Bug,1,-2,-2,3.5,5.5,2,1.400862069
13767,1,2,PC2,Release,1,2,2,3.5,1.5,2,1.400862069
13990,3,10,PC10,Bug,1,-2,-2,1.5,3.5,2,1.142241379
14096,3,3,PC3,Bug,1,2,2,10,8,2,2.24137931
14181,3,12,PC12,Enhancement,1,-2,-2,7,9,2,1.853448276
14292,3,10,PC10,Bug,1,-2,-2,3,5,2,1.336206897
12849,1,5,PC5,Release,1,-1.97,-1.97,7,8.97,1.97,1.853448276
13605,1,5,PC5,Enhancement,1,-1.96,NA,2,3.96,1.96,1.206896552
13605,1,5,PC5,Enhancement,1,-1.96,-0.96,2,3.96,1.96,1.206896552
12083,1,6,PC6,Enhancement,1,-1.92,-1.92,3.5,5.42,1.92,1.400862069
5203,1,11,PC11,Enhancement,1,1.91,1.91,7,5.09,1.91,1.853448276
5225,1,2,PC2,Bug,1,1.9,1.9,2,0.1,1.9,1.206896552
5293,5,2,PC2,Bug,1,1.9,1.9,2,0.1,1.9,1.206896552
5309,5,2,PC2,Bug,1,1.9,1.9,2,0.1,1.9,1.206896552
8049,1,9,PC9,Bug,1,1.9,1.9,2,0.1,1.9,1.206896552
12485,1,6,PC6,Release,1,-1.9,NA,2,3.9,1.9,1.206896552
12485,1,6,PC6,Release,1,-1.9,0.1,2,3.9,1.9,1.206896552
12631,1,6,PC6,Bug,1,-1.87,-1.87,3.5,5.37,1.87,1.400862069
11296,1,9,PC9,Enhancement,1,-1.86,-1.86,7,8.86,1.86,1.853448276
10563,1,9,PC9,Enhancement,1,1.85,1.85,2.5,0.65,1.85,1.271551724
9779,1,4,PC4,Bug,1,1.85,7.75,14,12.15,1.85,2.75862069
9779,1,4,PC4,Bug,1,1.85,NA,14,12.15,1.85,2.75862069
9779,1,4,PC4,Bug,1,1.85,NA,14,12.15,1.85,2.75862069
11829,1,13,PC13,Enhancement,1,1.85,2,7,5.15,1.85,1.853448276
11829,1,13,PC13,Enhancement,1,1.85,NA,7,5.15,1.85,1.853448276
12988,1,5,PC5,Release,1,1.82,1.82,5.5,3.68,1.82,1.659482759
13431,1,5,PC5,Enhancement,1,-1.81,-1.81,1,2.81,1.81,1.077586207
3679,1,11,PC11,Enhancement,1,-1.8,-1.8,4,5.8,1.8,1.465517241
4417,1,17,PC17,Bug,1,1.8,1.8,4,2.2,1.8,1.465517241
5923,3,9,PC9,Enhancement,1,1.8,1.8,4,2.2,1.8,1.465517241
7838,1,9,PC9,Release,1,-1.8,-1.8,3,4.8,1.8,1.336206897
13511,1,5,PC5,Bug,1,1.78,1.78,2.5,0.72,1.78,1.271551724
13316,1,5,PC5,Enhancement,1,-1.76,-1.76,3.5,5.26,1.76,1.400862069
2569,2,2,PC2,Enhancement,1,-1.75,-1.75,10.5,12.25,1.75,2.306034483
2586,2,2,PC2,Enhancement,1,1.75,1.75,3.5,1.75,1.75,1.400862069
2589,5,9,PC9,Enhancement,1,-1.75,-1.75,1.75,3.5,1.75,1.174568966
2690,5,2,PC2,Bug,1,1.75,1.75,3.5,1.75,1.75,1.400862069
2694,1,2,PC2,Enhancement,1,-1.75,-1.75,1.75,3.5,1.75,1.174568966
2728,5,2,PC2,Enhancement,1,1.75,1.75,3.5,1.75,1.75,1.400862069
2769,2,2,PC2,Bug,1,-1.75,-1.75,1.75,3.5,1.75,1.174568966
2836,1,2,PC2,Bug,1,-1.75,-1.75,3.5,5.25,1.75,1.400862069
2865,2,2,PC2,Bug,1,1.75,1.75,3.5,1.75,1.75,1.400862069
2894,2,2,PC2,Enhancement,1,-1.75,-1.75,1.75,3.5,1.75,1.174568966
2909,3,2,PC2,Bug,1,-1.75,-1.75,1.75,3.5,1.75,1.174568966
2931,3,2,PC2,Enhancement,1,1.75,1.75,3.5,1.75,1.75,1.400862069
2932,3,2,PC2,Enhancement,1,1.75,1.75,3.5,1.75,1.75,1.400862069
3150,2,8,PC8,Enhancement,1,1.75,1.75,3.5,1.75,1.75,1.400862069
3151,2,8,PC8,Enhancement,1,1.75,1.75,3.5,1.75,1.75,1.400862069
3161,1,2,PC2,Bug,1,1.75,1.75,7,5.25,1.75,1.853448276
3202,1,2,PC2,Bug,1,1.75,1.75,7,5.25,1.75,1.853448276
3299,4,2,PC2,Enhancement,1,1.75,1.75,7,5.25,1.75,1.853448276
3319,1,17,PC17,Enhancement,1,1.75,1.75,7,5.25,1.75,1.853448276
3328,2,16,PC16,Enhancement,1,1.75,1.75,10.5,8.75,1.75,2.306034483
3330,2,2,PC2,Enhancement,1,1.75,1.75,7,5.25,1.75,1.853448276
3331,1,2,PC2,Bug,1,1.75,1.75,7,5.25,1.75,1.853448276
3385,3,2,PC2,Bug,1,-1.75,-1.75,1.75,3.5,1.75,1.174568966
3399,4,9,PC9,Bug,1,1.75,1.75,7,5.25,1.75,1.853448276
3716,3,9,PC9,Bug,1,-1.75,-1.75,2,3.75,1.75,1.206896552
4209,1,9,PC9,Enhancement,1,1.75,1.75,2,0.25,1.75,1.206896552
4289,5,2,PC2,Bug,1,-1.75,-1.75,3,4.75,1.75,1.336206897
4561,2,2,PC2,Bug,1,1.75,1.75,5,3.25,1.75,1.594827586
4567,2,2,PC2,Bug,1,-1.75,-1.75,7,8.75,1.75,1.853448276
4696,5,9,PC9,Enhancement,1,-1.75,-1.75,20,21.75,1.75,3.534482759
4966,1,2,PC2,Release,1,-1.75,-1.75,0.5,2.25,1.75,1.012931034
4970,5,9,PC9,Bug,1,1.75,1.75,2.5,0.75,1.75,1.271551724
5028,1,2,PC2,Release,1,-1.75,-1.75,3.5,5.25,1.75,1.400862069
5234,5,2,PC2,Enhancement,1,-1.75,-1.75,2,3.75,1.75,1.206896552
5425,3,2,PC2,Enhancement,1,1.75,1.75,3.5,1.75,1.75,1.400862069
5660,3,2,PC2,Enhancement,1,-1.75,-1.75,2.5,4.25,1.75,1.271551724
5779,2,2,PC2,Enhancement,1,1.75,1.75,2,0.25,1.75,1.206896552
5857,5,2,PC2,Bug,1,1.75,1.75,2,0.25,1.75,1.206896552
5972,1,2,PC2,Enhancement,1,-1.75,-1.75,2.5,4.25,1.75,1.271551724
6139,2,9,PC9,Bug,1,1.75,1.75,7,5.25,1.75,1.853448276
6270,5,9,PC9,Bug,1,-1.75,-1.75,2,3.75,1.75,1.206896552
6394,4,2,PC2,Bug,1,1.75,1.75,7,5.25,1.75,1.853448276
6422,3,2,PC2,Bug,1,1.75,1.75,5,3.25,1.75,1.594827586
6513,4,2,PC2,Bug,1,-1.75,-1.75,7,8.75,1.75,1.853448276
7474,1,2,PC2,Bug,1,-1.75,-1.75,1,2.75,1.75,1.077586207
7989,1,2,PC2,Bug,1,-1.75,-1.75,1,2.75,1.75,1.077586207
8384,1,2,PC2,Enhancement,1,1.75,1.75,2,0.25,1.75,1.206896552
10221,2,9,PC9,Testing,1,1.75,1.75,30,28.25,1.75,4.827586207
10566,4,9,PC9,Enhancement,1,1.75,1.75,3,1.25,1.75,1.336206897
11953,1,2,PC2,Enhancement,1,-1.75,0,10.5,12.25,1.75,2.306034483
11953,1,2,PC2,Enhancement,1,-1.75,NA,10.5,12.25,1.75,2.306034483
4786,1,17,PC17,Enhancement,1,-1.7,-1.7,5,6.7,1.7,1.594827586
12939,1,5,PC5,Enhancement,1,1.7,1.7,3,1.3,1.7,1.336206897
3418,4,2,PC2,Enhancement,1,-1.7,2.3,7,8.7,1.7,1.853448276
3418,4,2,PC2,Enhancement,1,-1.7,NA,7,8.7,1.7,1.853448276
12434,1,6,PC6,Enhancement,1,1.68,1.68,7,5.32,1.68,1.853448276
8957,1,2,PC2,Testing,1,1.67,1.67,14,12.33,1.67,2.75862069
11297,1,9,PC9,Enhancement,1,1.66,1.66,7,5.34,1.66,1.853448276
12516,1,6,PC6,Enhancement,1,1.63,1.63,7,5.37,1.63,1.853448276
13827,1,5,PC5,Enhancement,1,1.63,1.63,4,2.37,1.63,1.465517241
12709,1,5,PC5,Enhancement,1,1.61,1.61,2.5,0.89,1.61,1.271551724
10520,1,9,PC9,Bug,1,1.6,NA,14,12.4,1.6,2.75862069
10520,1,9,PC9,Bug,1,1.6,3,14,12.4,1.6,2.75862069
10712,3,9,PC9,Enhancement,1,1.6,1.6,7,5.4,1.6,1.853448276
12467,1,6,PC6,Enhancement,1,-1.59,-1.59,7,8.59,1.59,1.853448276
12508,1,6,PC6,Enhancement,1,-1.59,-1.59,14,15.59,1.59,2.75862069
7791,1,9,PC9,Release,1,-1.56,-1.56,7,8.56,1.56,1.853448276
5125,4,2,PC2,Bug,1,1.55,NA,3,1.45,1.55,1.336206897
5125,4,2,PC2,Bug,1,1.55,2.25,3,1.45,1.55,1.336206897
12591,1,6,PC6,Enhancement,1,-1.55,-1.55,2.5,4.05,1.55,1.271551724
10462,1,4,PC4,Testing,1,1.51,1.51,4,2.49,1.51,1.465517241
3523,1,2,PC2,Enhancement,1,1.5,1.5,5,3.5,1.5,1.594827586
3573,3,2,PC2,Bug,1,1.5,1.5,2,0.5,1.5,1.206896552
3650,1,2,PC2,Bug,1,1.5,1.5,2,0.5,1.5,1.206896552
3832,2,2,PC2,Bug,1,-1.5,NA,3,4.5,1.5,1.336206897
3832,2,2,PC2,Bug,1,-1.5,-0.5,3,4.5,1.5,1.336206897
3841,1,8,PC8,Enhancement,1,-1.5,NA,1.5,3,1.5,1.142241379
3841,1,8,PC8,Enhancement,1,-1.5,0,1.5,3,1.5,1.142241379
3997,2,16,PC16,Enhancement,1,1.5,1.5,2,0.5,1.5,1.206896552
4014,1,9,PC9,Release,1,-1.5,-1.5,2,3.5,1.5,1.206896552
4017,2,16,PC16,Enhancement,1,1.5,1.5,2,0.5,1.5,1.206896552
4027,1,16,PC16,Testing,1,1.5,1.5,7.5,6,1.5,1.918103448
4155,3,2,PC2,Enhancement,1,1.5,1.5,2,0.5,1.5,1.206896552
4198,6,2,PC2,Bug,1,1.5,1.5,3,1.5,1.5,1.336206897
4231,5,2,PC2,Enhancement,1,-1.5,-1.5,5,6.5,1.5,1.594827586
4283,3,9,PC9,Bug,1,1.5,1.5,3,1.5,1.5,1.336206897
4300,2,2,PC2,Enhancement,1,1.5,1.5,21,19.5,1.5,3.663793103
4365,6,17,PC17,Enhancement,1,1.5,2.5,4,2.5,1.5,1.465517241
4365,6,17,PC17,Enhancement,1,1.5,NA,4,2.5,1.5,1.465517241
4384,1,2,PC2,Enhancement,1,-1.5,0,1.5,3,1.5,1.142241379
4384,1,2,PC2,Enhancement,1,-1.5,NA,1.5,3,1.5,1.142241379
4389,5,11,PC11,Bug,1,1.5,1.5,2,0.5,1.5,1.206896552
4424,4,2,PC2,Bug,1,-1.5,-1.5,3,4.5,1.5,1.336206897
4485,1,2,PC2,Enhancement,1,-1.5,-1.5,1,2.5,1.5,1.077586207
4486,1,2,PC2,Enhancement,1,-1.5,-1.5,14,15.5,1.5,2.75862069
4702,2,2,PC2,Enhancement,1,-1.5,-1.5,7,8.5,1.5,1.853448276
4763,1,9,PC9,Enhancement,1,-1.5,-1.5,5,6.5,1.5,1.594827586
4779,5,9,PC9,Enhancement,1,-1.5,-1.5,2,3.5,1.5,1.206896552
4862,1,2,PC2,Bug,1,1.5,1.5,2,0.5,1.5,1.206896552
4903,1,2,PC2,Release,1,1.5,1.5,7,5.5,1.5,1.853448276
4925,1,2,PC2,Bug,1,1.5,NA,5,3.5,1.5,1.594827586
4925,1,2,PC2,Bug,1,1.5,3,5,3.5,1.5,1.594827586
4925,1,2,PC2,Bug,1,1.5,NA,5,3.5,1.5,1.594827586
4948,5,2,PC2,Enhancement,1,-1.5,-1.5,1,2.5,1.5,1.077586207
5019,5,2,PC2,Enhancement,1,-1.5,-1.5,3.5,5,1.5,1.400862069
5087,5,2,PC2,Enhancement,1,1.5,1.5,2,0.5,1.5,1.206896552
5109,5,2,PC2,Enhancement,1,1.5,1.5,3,1.5,1.5,1.336206897
5153,1,2,PC2,Enhancement,1,1.5,1.5,5,3.5,1.5,1.594827586
5180,1,2,PC2,Enhancement,1,-1.5,-1.5,5,6.5,1.5,1.594827586
5301,3,2,PC2,Enhancement,1,1.5,1.5,3,1.5,1.5,1.336206897
5432,3,2,PC2,Enhancement,1,1.5,NA,3,1.5,1.5,1.336206897
5432,3,2,PC2,Enhancement,1,1.5,2,3,1.5,1.5,1.336206897
5455,5,9,PC9,Bug,1,1.5,1.5,5,3.5,1.5,1.594827586
5459,4,2,PC2,Bug,1,1.5,1.5,2.5,1,1.5,1.271551724
5477,1,2,PC2,Enhancement,1,-1.5,NA,5.5,7,1.5,1.659482759
5477,1,2,PC2,Enhancement,1,-1.5,2,5.5,7,1.5,1.659482759
5485,3,2,PC2,Enhancement,1,1.5,1.5,2,0.5,1.5,1.206896552
5487,3,2,PC2,Enhancement,1,1.5,1.5,3,1.5,1.5,1.336206897
5541,3,2,PC2,Enhancement,1,1.5,1.5,2.5,1,1.5,1.271551724
5592,3,2,PC2,Enhancement,1,-1.5,-1.5,0.5,2,1.5,1.012931034
5625,1,2,PC2,Bug,1,1.5,1.5,2,0.5,1.5,1.206896552
5657,3,2,PC2,Enhancement,1,-1.5,-1.5,4,5.5,1.5,1.465517241
5678,6,2,PC2,Bug,1,1.5,1.5,2,0.5,1.5,1.206896552
5780,5,2,PC2,Bug,1,-1.5,-1.5,3.5,5,1.5,1.400862069
5839,4,2,PC2,Enhancement,1,-1.5,-1.5,2,3.5,1.5,1.206896552
6019,1,9,PC9,Enhancement,1,1.5,1.5,7,5.5,1.5,1.853448276
6115,5,9,PC9,Enhancement,1,1.5,1.5,3.5,2,1.5,1.400862069
6116,5,9,PC9,Enhancement,1,-1.5,-1.5,2,3.5,1.5,1.206896552
6220,5,2,PC2,Bug,1,-1.5,-1.5,3.5,5,1.5,1.400862069
6323,5,9,PC9,Enhancement,1,1.5,1.5,4,2.5,1.5,1.465517241
6424,1,2,PC2,Bug,1,-1.5,NA,1.5,3,1.5,1.142241379
6424,1,2,PC2,Bug,1,-1.5,0,1.5,3,1.5,1.142241379
6429,1,2,PC2,Enhancement,1,1.5,1.5,4,2.5,1.5,1.465517241
6434,3,2,PC2,Release,1,-1.5,-1.5,3,4.5,1.5,1.336206897
6462,1,9,PC9,Enhancement,1,1.5,1.5,4,2.5,1.5,1.465517241
6493,4,9,PC9,Enhancement,1,-1.5,-1.5,3,4.5,1.5,1.336206897
6519,5,9,PC9,Bug,1,-1.5,-1.5,2,3.5,1.5,1.206896552
6520,1,2,PC2,Enhancement,1,-1.5,-1.5,4,5.5,1.5,1.465517241
6568,1,2,PC2,Enhancement,1,1.5,1.5,7,5.5,1.5,1.853448276
6571,1,2,PC2,Bug,1,1.5,1.5,3,1.5,1.5,1.336206897
6598,1,2,PC2,Enhancement,1,-1.5,-1.5,3,4.5,1.5,1.336206897
6672,3,2,PC2,Release,1,1.5,1.5,7,5.5,1.5,1.853448276
6727,1,2,PC2,Enhancement,1,1.5,2,4,2.5,1.5,1.465517241
6727,1,2,PC2,Enhancement,1,1.5,NA,4,2.5,1.5,1.465517241
6825,1,2,PC2,Bug,1,1.5,1.5,2,0.5,1.5,1.206896552
6829,5,9,PC9,Enhancement,1,-1.5,-1.5,2,3.5,1.5,1.206896552
6860,5,9,PC9,Enhancement,1,-1.5,-1.5,5,6.5,1.5,1.594827586
6904,1,2,PC2,Bug,1,1.5,NA,14,12.5,1.5,2.75862069
6904,1,2,PC2,Bug,1,1.5,4,14,12.5,1.5,2.75862069
7068,1,2,PC2,Bug,1,-1.5,-1.5,5,6.5,1.5,1.594827586
7085,1,2,PC2,Bug,1,-1.5,-1.5,7,8.5,1.5,1.853448276
7299,1,2,PC2,Enhancement,1,-1.5,-1.5,6,7.5,1.5,1.724137931
7374,1,2,PC2,Enhancement,1,1.5,1.5,3,1.5,1.5,1.336206897
7432,1,2,PC2,Release,1,-1.5,-1.5,2,3.5,1.5,1.206896552
7434,1,2,PC2,Bug,1,1.5,1.5,2.5,1,1.5,1.271551724
7450,1,2,PC2,Bug,1,1.5,1.5,4,2.5,1.5,1.465517241
7459,1,2,PC2,Release,1,-1.5,-1.5,7,8.5,1.5,1.853448276
7477,5,9,PC9,Enhancement,1,-1.5,NA,1.5,3,1.5,1.142241379
7477,5,9,PC9,Enhancement,1,-1.5,0,1.5,3,1.5,1.142241379
7480,1,2,PC2,Enhancement,1,-1.5,-1.5,3,4.5,1.5,1.336206897
7505,1,2,PC2,Bug,1,-1.5,-1.5,3,4.5,1.5,1.336206897
7511,1,2,PC2,Bug,1,1.5,1.5,4,2.5,1.5,1.465517241
7614,4,11,PC11,Bug,1,1.5,1.5,3.5,2,1.5,1.400862069
7619,5,9,PC9,Bug,1,-1.5,NA,1.5,3,1.5,1.142241379
7619,5,9,PC9,Bug,1,-1.5,0,1.5,3,1.5,1.142241379
7648,4,2,PC2,Release,1,-1.5,-1.5,7,8.5,1.5,1.853448276
7696,1,9,PC9,Bug,1,1.5,1.5,2,0.5,1.5,1.206896552
7760,5,9,PC9,Bug,1,-1.5,NA,1.5,3,1.5,1.142241379
7760,5,9,PC9,Bug,1,-1.5,0,1.5,3,1.5,1.142241379
7775,1,2,PC2,Bug,1,-1.5,NA,2,3.5,1.5,1.206896552
7775,1,2,PC2,Bug,1,-1.5,0,2,3.5,1.5,1.206896552
7781,3,9,PC9,Enhancement,1,-1.5,-1.5,5,6.5,1.5,1.594827586
7800,1,2,PC2,Bug,1,-1.5,-0.5,1,2.5,1.5,1.077586207
7800,1,2,PC2,Bug,1,-1.5,NA,1,2.5,1.5,1.077586207
7833,1,2,PC2,Bug,1,-1.5,-1.5,1,2.5,1.5,1.077586207
7850,1,2,PC2,Bug,1,1.5,1.5,4,2.5,1.5,1.465517241
7851,1,9,PC9,Enhancement,1,-1.5,-1.5,0.75,2.25,1.5,1.045258621
7936,5,9,PC9,Enhancement,1,-1.5,1,3,4.5,1.5,1.336206897
7936,5,9,PC9,Enhancement,1,-1.5,NA,3,4.5,1.5,1.336206897
7962,3,9,PC9,Bug,1,-1.5,5,7,8.5,1.5,1.853448276
7962,3,9,PC9,Bug,1,-1.5,NA,7,8.5,1.5,1.853448276
7983,1,2,PC2,Bug,1,-1.5,-1.5,1,2.5,1.5,1.077586207
8023,1,9,PC9,Bug,1,-1.5,NA,2.5,4,1.5,1.271551724
8023,1,9,PC9,Bug,1,-1.5,0.5,2.5,4,1.5,1.271551724
8240,3,2,PC2,Bug,1,-1.5,-1,7.5,9,1.5,1.918103448
8240,3,2,PC2,Bug,1,-1.5,NA,7.5,9,1.5,1.918103448
8304,1,2,PC2,Testing,1,-1.5,-1.5,8,9.5,1.5,1.982758621
8332,4,2,PC2,Bug,1,-1.5,-1.5,4,5.5,1.5,1.465517241
8480,1,2,PC2,Bug,1,-1.5,-1.5,2,3.5,1.5,1.206896552
8513,1,2,PC2,Bug,1,-1.5,-1.5,0.5,2,1.5,1.012931034
8559,1,2,PC2,Bug,1,-1.5,-1.5,4,5.5,1.5,1.465517241
8571,1,2,PC2,Bug,1,-1.5,-1.5,0.5,2,1.5,1.012931034
8574,5,2,PC2,Enhancement,1,1.5,NA,21,19.5,1.5,3.663793103
8574,5,2,PC2,Enhancement,1,1.5,2.5,21,19.5,1.5,3.663793103
8639,2,2,PC2,Bug,1,1.5,1.5,4,2.5,1.5,1.465517241
