Task_ID,Priority,Project_ID,Project_code,Category,Total_developers,TaskPerformance,DeveloperPerformance,Hours_estimate,Hours_logged,Difference,Estimate_Effort
10984,1,14,PC14,Bug,1,-6,-6,1,7,6,1.077586207
11267,5,13,PC13,Enhancement,1,6,9,10,4,6,2.24137931
11267,5,13,PC13,Enhancement,1,6,NA,10,4,6,2.24137931
2639,1,2,PC2,Bug,1,5.95,5.95,7,1.05,5.95,1.853448276
11932,1,6,PC6,Enhancement,1,5.91,5.91,7,1.09,5.91,1.853448276
12694,1,6,PC6,Enhancement,1,5.88,5.88,14,8.12,5.88,2.75862069
13477,1,5,PC5,Enhancement,1,-5.86,-5.86,35,40.86,5.86,5.474137931
13687,1,18,PC18,Release,1,5.83,5.83,21,15.17,5.83,3.663793103
4466,1,9,PC9,Enhancement,1,-5.75,-5.75,21,26.75,5.75,3.663793103
5983,5,17,PC17,Enhancement,1,5.75,5.75,35,29.25,5.75,5.474137931
6359,3,2,PC2,Release,1,-5.75,-5.75,14,19.75,5.75,2.75862069
6454,3,2,PC2,Enhancement,1,-5.75,-5.75,15,20.75,5.75,2.887931034
6690,1,2,PC2,Release,1,-5.75,-5.75,14,19.75,5.75,2.75862069
7397,5,2,PC2,Enhancement,1,5.75,5.75,17.5,11.75,5.75,3.211206897
9664,3,4,PC4,Testing,1,5.75,5.75,7,1.25,5.75,1.853448276
11504,1,2,PC2,Enhancement,1,5.75,5.75,7,1.25,5.75,1.853448276
6418,1,9,PC9,Release,1,-5.73,NA,21,26.73,5.73,3.663793103
6418,1,9,PC9,Release,1,-5.73,8.27,21,26.73,5.73,3.663793103
6418,1,9,PC9,Release,1,-5.73,NA,21,26.73,5.73,3.663793103
13808,1,5,PC5,Bug,1,-5.68,-5.68,3.5,9.18,5.68,1.400862069
2737,3,2,PC2,Bug,1,5.6,5.6,7,1.4,5.6,1.853448276
2942,5,2,PC2,Bug,1,5.6,5.6,7,1.4,5.6,1.853448276
2975,2,2,PC2,Bug,1,5.6,5.6,7,1.4,5.6,1.853448276
3034,1,9,PC9,Enhancement,1,5.6,5.6,7,1.4,5.6,1.853448276
3226,1,2,PC2,Enhancement,1,5.6,5.6,7,1.4,5.6,1.853448276
3263,5,17,PC17,Bug,1,5.6,5.6,7,1.4,5.6,1.853448276
3307,3,9,PC9,Bug,1,-5.6,-5.6,3.5,9.1,5.6,1.400862069
3400,5,2,PC2,Enhancement,1,5.6,5.6,7,1.4,5.6,1.853448276
12082,1,6,PC6,Enhancement,1,-5.51,-5.51,21,26.51,5.51,3.663793103
3801,1,2,PC2,Enhancement,1,-5.5,-5.5,3,8.5,5.5,1.336206897
4397,2,2,PC2,Bug,1,-5.5,-5.5,2.5,8,5.5,1.271551724
4564,10,2,PC2,Enhancement,1,-5.5,-5.5,7,12.5,5.5,1.853448276
4803,5,9,PC9,Enhancement,1,-5.5,-5.5,7,12.5,5.5,1.853448276
4835,1,2,PC2,Release,1,-5.5,-5.5,7,12.5,5.5,1.853448276
4869,5,2,PC2,Enhancement,1,5.5,5.5,14,8.5,5.5,2.75862069
4936,1,2,PC2,Bug,1,5.5,5.5,7,1.5,5.5,1.853448276
6200,2,2,PC2,Enhancement,1,5.5,5.5,10,4.5,5.5,2.24137931
6940,1,2,PC2,Testing,1,5.5,5.5,7,1.5,5.5,1.853448276
7246,1,2,PC2,Bug,1,-5.5,-5.5,3,8.5,5.5,1.336206897
7395,1,2,PC2,Enhancement,1,-5.5,-5.5,4,9.5,5.5,1.465517241
7442,1,2,PC2,Bug,1,-5.5,-5.5,3,8.5,5.5,1.336206897
7585,1,2,PC2,Bug,1,-5.5,-5.5,10,15.5,5.5,2.24137931
7601,1,2,PC2,Bug,1,5.5,NA,10,4.5,5.5,2.24137931
7601,1,2,PC2,Bug,1,5.5,6.5,10,4.5,5.5,2.24137931
8004,5,9,PC9,Bug,1,5.5,5.5,14,8.5,5.5,2.75862069
8178,1,2,PC2,Bug,1,5.5,5.5,7.5,2,5.5,1.918103448
8505,1,2,PC2,Bug,1,-5.5,-5.5,7,12.5,5.5,1.853448276
9696,3,4,PC4,Enhancement,1,5.5,5.5,14,8.5,5.5,2.75862069
9947,1,4,PC4,Bug,1,5.5,5.5,7,1.5,5.5,1.853448276
11245,5,13,PC13,Enhancement,1,-5.5,0.5,35,40.5,5.5,5.474137931
11245,5,13,PC13,Enhancement,1,-5.5,NA,35,40.5,5.5,5.474137931
3234,2,2,PC2,Bug,1,5.49,6.25,7,1.51,5.49,1.853448276
3234,2,2,PC2,Bug,1,5.49,NA,7,1.51,5.49,1.853448276
11671,1,6,PC6,Enhancement,1,-5.37,-5.37,14,19.37,5.37,2.75862069
4448,1,17,PC17,Enhancement,1,5.3,5.3,14,8.7,5.3,2.75862069
3869,2,11,PC11,Release,1,-5.28,NA,1.5,6.78,5.28,1.142241379
3869,2,11,PC11,Release,1,-5.28,-2.53,1.5,6.78,5.28,1.142241379
