"TaskNumber","Priority","StatusCode","ProjectCode","SubCategory","#Developers","TaskPerformance","DeveloperPerformance","HoursEstimate","HoursLogged"
"2698","2","FINISHED","PC9","Bug","1","-3.5","-3.5","1.75","5.25"
"2700","5","FINISHED","PC2","Enhancement","1","0","0","7","7"
"2701","1","FINISHED","PC2","Enhancement","1","0","0","7","7"
"2702","4","FINISHED","PC2","Bug","1","0","0","3.5","3.5"
"2703","3","FINISHED","PC9","Bug","1","1.05","1.05","1.75","0.7"
"2705","2","FINISHED","PC2","Bug","1","7","7","14","7"
"2712","2","FINISHED","PC9","Enhancement","1","3.5","3.5","7","3.5"
"2714","3","FINISHED","PC9","Bug","1","0","0","0.7","0.7"
"2719","7","FINISHED","PC2","Enhancement","1","0","0","7","7"
"2721","1","FINISHED","PC9","Bug","1","0","0","7","7"
"2722","1","FINISHED","PC9","Bug","1","7","7","14","7"
"2723","1","FINISHED","PC9","Enhancement","1","0","0","3.5","3.5"
"2724","1","FINISHED","PC9","Enhancement","1","7","7","14","7"
"2726","4","FINISHED","PC9","Bug","1","5.25","5.25","7","1.75"
"2727","3","FINISHED","PC9","Enhancement","1","0","0","7","7"
"2728","5","FINISHED","PC2","Enhancement","1","1.75","1.75","3.5","1.75"
"2729","2","FINISHED","PC2","Bug","1","3.5","3.5","7","3.5"
"2730","6","FINISHED","PC2","Enhancement","1","3.5","3.5","14","10.5"
"2733","1","FINISHED","PC2","Enhancement","1","0","0","14","14"
"2734","3","FINISHED","PC2","Bug","1","0.7","0.7","3.5","2.8"
"2735","2","FINISHED","PC2","Enhancement","1","7","7","14","7"
"2736","2","FINISHED","PC2","Enhancement","1","3.5","3.5","7","3.5"
"2737","3","FINISHED","PC2","Bug","1","5.6","5.6","7","1.4"
"2739","5","FINISHED","PC2","Enhancement","1","0","0","0.7","0.7"
"2741","1","FINISHED","PC2","Bug","1","0","0","1.75","1.75"
"2743","1","FINISHED","PC9","Enhancement","1","0","0","7","7"
"2744","3","COMPLETED","PC2","Bug","1","0.45","0.45","0.7","0.25"
"2745","8","FINISHED","PC9","Enhancement","1","5.25","5.25","7","1.75"
